date,T10_yield_logdiff,VIX_logdiff,DXY_logdiff,Oil_WTI_diff,TED_Spread_logdiff,SP500_logdiff
2006-01-04,-0.0022909517465556917,0.020436073263306653,-0.005244194906247834,0.29999999999999716,-0.04348511193973881,0.003665964386255993
2006-01-05,0.0,-0.005291017634415418,0.0007021463625260793,-0.5999999999999943,0.0,1.572045804820732e-05
2006-01-06,0.004576667027411663,-0.027792017329658414,-0.0027465619120397022,1.3999999999999915,-0.04546237407675735,0.009355518384217554
2006-01-09,0.0,0.011748892489082952,0.0015514217398733265,-0.6499999999999915,-0.023530497410194084,0.0036496959962182274
2006-01-10,0.011350859668689539,-0.024557850781664392,-0.00035742276604366907,-0.15000000000000568,-0.10008345855698253,-0.0003566756223527534
2006-01-11,0.006749181974928353,0.007339482488045945,-0.002725802704251379,0.5,0.0,0.00347549747694309
2006-01-12,-0.009009069942365944,0.023487981307213524,0.0019336261303299906,0.05000000000000426,0.0,-0.006294004875159409
2006-01-13,-0.013667638728663611,0.002674990449303305,-0.0009678461880193723,-0.10000000000000142,-0.02666824708216131,0.0012044488366580453
2006-01-17,-0.004597709248629567,0.058789614616856944,0.0027690637945561036,2.5,-0.14518200984449792,-0.0036412090379522866
2006-01-18,0.0,0.028147553623527166,0.0016326680699387808,-0.5999999999999943,0.08961215868968697,-0.0039049429830875226
2006-01-19,0.00917437627604123,-0.02228734430343282,-0.002216410413670822,1.0999999999999943,0.0281708769666964,0.005548253263319758
2006-01-20,-0.002285715280855971,0.1950394500812367,-0.0028437520882329537,1.2999999999999972,0.027398974188114544,-0.018496322409991883
2006-01-23,-0.0022909517465556917,-0.04423325497682562,-0.005252922556429063,-0.09999999999999432,-0.0845573880280629,0.0018452837666602662
2006-01-24,0.009132483563272453,-0.04552915538469415,-0.00035124498591621034,-1.230000000000004,-0.029852963149681333,0.002402548411444272
2006-01-25,0.020248160829947404,-0.033616610798985036,4.630296027752223e-05,-1.230000000000004,-0.030771658666753687,-0.0017222182116816143
2006-01-26,0.008869237740779745,-0.03559094510270233,0.0013257705341516157,0.20000000000000284,0.0,0.00720890753548975
2006-01-27,-0.0022099456508029025,-0.036904556935450916,0.001642200595954435,2.010000000000005,0.030771658666753687,0.007734014372505094
